tweet	emotion
#Matthew ; Could somebody shoot a #video about it?\nIt could be  of those #horror videos but in the same time turning many  #Christ	fear
@bkero @whispersystems Which really sucks because typing on a mobile device is always horrible and I hate it.	fear
Be #afraid of the #quiet ones they are the ones who actually #think.	fear
@riinkanei he's a horrible person and now i gag when i see people quote him	fear
What we fear doing most is usually what we most need to do.' ~Tim Ferriss #inspiring #inspired #motivation #fear #success #hustle	fear
a pedicure is supposed to be nice but honestly I'm so nervous rn my feet are too ticklish	fear
US you need to band together not apart #nevertrump he promotes hatred and fuels #fear	fear
US you need to band together not apart #nevertrump he promotes hatred and fuels	fear
What a shamefull, unequal, dangerous and worrying world we live in nowadays! #terrifying #Charlotte  #shitworldforourkids	fear
Been up since am. Too scared to go back to sleep #nightmare â€” feeling scared	fear
@EASPORTSFIFA EA sports technical support team really suprised me ðŸ˜Š SUPRISED ME AT HOW SHIT THEY WERE #awful	fear
@Fabraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible	fear
@JamesPiotr I am working on a feature right now about the preponderance of awful owners who are at war with fans. So many to choose from.	fear
BibleMotivate: Are you worrying/worried?\nPeter :\nThrow all your worry on him, because he cares for you. #faith #leadership  #mindful	fear
@chelsysayshi @Adweek touchÃ©! I'll start paying more attention and test this #AdweekChat	fear
That boy so intimidated he go back and say dumb mess like that. ðŸ¤” lol boy please, you know good and well.	fear
The ecosystem is meant to break thru the wall of #apprehension. It's easy to follow a fave music star &amp; watch their goings on but #dentists?	fear
Plus why did I have a baby  days before Christmas this is gonna haunt me forever!!!	fear
@BennyN_PR If you need any assistance with your concern so it can be resolved, feel free to email us with your info.	fear
inha's and seol's banter is rly fun to read. im in awe that seol is willing to deal with her tho	fear
@littlepieces Customer services got involved and eventually completely wash their hands of it. #awful #dreamornightmare	fear
and I'm up from a dream where I said something really retarded on twitter and it got like  retweets #nightmare	fear
I'm way too busy and tired all the time to worry about my past and the things I should be regretting (but I never am).	fear
When City Hall has the fire alarm go off and it's been  minutes and the fire department still isn't here	fear
@britishairways term  security queues at arrivals #shocking	fear
@britishairways term  security queues at arrivals	fear
@RussiaInsider Really sad &amp; surprising.  side #Russia fighting against #IS &amp; on the other supporting #Pak which is epic centre  #terrorism	fear
The #Texans should never play a prime time game again...this is #awful #TNF	fear
So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media #fear	fear
ðŸ˜« ughh I just want all this to be over.. it's like a nightmare! can we all just get along?	fear
Time for some despair #SDR #despair #fuckthisanime	fear
Time for some despair #SDR  #fuckthisanime	fear
Fuckin restless	fear
Annoyed with @TripAdvisorUK bullying me to download an app that eats my phone memory. Will seek alternative from now. #bully #tripadvisor	fear
@News #FMF protesters aren't interested in reasoned debate, just #intimidation #violence &amp; #disruption to get demands met	fear
I #cry out #fear to clear a #path\nBut my Voice seems  silent  chase a #rat\nAm just indoor #expecting to open door\na #weak wise #fool I am	fear
@jshayevitz @Israel is a #bully worse than #hitler a #demon under #human guise.. its the cause of all #MiddleEast problems!	fear
@kevinrouth Now that's what I call a gameface! #gameface	fear
@NikeSupport ok, thats it. After  weeks not being able to sign in, time to move on &amp; find another app. I will strongly discourage NikeRun	fear
#quote What U #fear controls U. Fear is not out in life but in ur mind. Real difficulties can be overcome - Cheryl Janecky	fear
I hate those sugar cookies shit is awful	fear
@gfunk @officialpes you must have been one of 'them'. Those that used long balls to win matches. Your reign of terror is over, accept it	fear
@DaddyION you and that awful music can take a walk... right off a cliff. K.	fear
It is important to seek peace, even in the midst of a horrific war #CreateSyria  @intalert #TalkingPeace #buildingpeace	fear
@AdoreDelano ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! #nervous	fear
what to wear Friday \nspeaking in front of 's.   #nervous	fear
@CNN please fire don lemon!!Do not let him report on anymore  protest. He is #horrible #negative and runs away from the issue at hand!	fear
In honor of Shawty Lo passing away I made Dey Know my new alarm clock song so I wake up with the right attitude everyday lol	fear
@Bwana I can fear that someone is always following me everywhere I go. Does that make it true?	fear
second episode of AHS  here i go #panic	fear
second episode of AHS  here i go	fear
I can never find the exact #emoji that I'm after at the exact moment that I need it #nuclear #missiles.#IndianArmy	fear
The Car' ()\nA middle of the road #horror film that in the hands of a better filmmaker could've been a hell of a lot better	fear
The terror threat level really need to be raised	fear
I'm going to get the weirdest thank you note--or worse--total silence and no acknowledgement. #anxiety	fear
@Curculiunculus @SystemPolitics Yep, as I pointed out before, it's the politics of loathing. That's why the big candidates are so horrible.	fear
@rockcock cum and despair	fear
@AliKhanSays Oh come on. RAW and ISI have been spying for decades. Spying and supporting terrorism is two different thing.	fear
Shame on you @SkyNews showing an elephant being hunted and killed, #shocking	fear
I shower to lay in bed for about an hour then dread wearing pants for the remainder of the day	fear
@devenmiddleton i'm totally loving it, it just makes me sad when people feel super awful cuz they aren't abroad like life is still goin	fear
@destaneex @ProSyndicate @EGX oh don't panic he's gonna be there	fear
like srsly somebody help me deal with this social anxiety	fear
Love takes off the masks that we fear we cannot live without and know we cannot live within. - James A. Baldwin	fear
Romero is fucking dreadful like seriously my  month old is better than him.	fear
@HillaryClinton evidently @realDonaldTrump feels above #norms. SHOW the #tax return, if you have nothing to #fear	fear
Fuck me....what the fuuuuuuuck did I just watch?!?! #STAGESCHOOL is awful.....no that flatters it!! #shocking	fear
Why do people gotta start so much drama ? Shoot me	fear
@mar_de_palabras But I do think we need to experience a bit madness &amp; despair too. This is the stuff that makes us human.	fear
I hate freaking out and ruining things. #anxiety	fear
I hate freaking out and ruining things.	fear
Paranoia is a fear every races has	fear
@kohara It's a rare land octopus. Be very afraid.	fear
God, I've been so physically weak the whole day. So much shaking :(	fear
why won't you let me go? do i threaten all your plans? im insignificant	fear
It appears my fire alarm disapproves of my cooking style	fear
penny dreadful just cleaved off a fraction of my heart	fear
Even at this level, rojo still manages to play god damn awful. #MUFC	fear
.@billradkeradio is not a fan of The Beat Happening. But that's not to discourage aspiring other Olympia musicians! #KUOWrecord	fear
@shimian lol. DK has actually dropped from top of the table, surprisingly Arms Warrior is top of the DPS at the moment #shocking	fear
@dish_answers I've contacted @dish @dish_answers #awful #service #whathappenedtocustomerservice	fear
@dish_answers I've contacted @dish @dish_answers  #service #whathappenedtocustomerservice	fear
@ManUtd Rooney needs to come off! Absolutely dreadful! class goal from @carras @carras showing why he should be in the team!	fear
@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror	fear
@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful	fear
@sandrosmom The horror!	fear
@jaimeotero_ how about saying something like 'if you're concerned about privacy use it only in incognito mode'. #alarmist	fear
@KimPiggie @kristasaidthis oh every people can make tipo. It is terrible bullying them about that. It's trvial and very sad.	fear
But 'for me not to worry, they'll get a glass guy over and bill us for it'	fear
When you just want all the attention #cantsleep #nervous	fear
When you just want all the attention #cantsleep	fear
#GoodAfternoon! ^^ Doesn't matter whn you #start something, as long as you start it #today. 'Age' only exists in the mind. You are #Timeless	fear
@comcast you charge  extra for sending someone out and your cable service still doesn't work. That's robbery.  #cable #horrible #service	fear
More #terror attacks on #India means something ominous for #Pakistan The current situation can't last long	fear
I stepped into the shower and my spidey senses tangled. I immediately looked up and saw a spider directly above my head. #terror	fear
@Away_Label_Not True Indeed! Next time if these midnight hunger pangs worry you,then you can order delicious rolls from #TRC via @ScootsyIt	fear
Good job #Texas for saying no to #Obama for #refugees who could be #terrorists! #Wakeup, #America! #Stop #terrorism. #pray @foxandfriends	fear
@ddcl @ABC not nice.  Wishing harm on another human being is deplorable.  Your comments show how human, and humane you are. #bully	
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of ðŸ’© #needstobeadmitted #bully	fear
The majority of my clients have family/ partner/ day job/ life AND write their beautiful books. #awe #gratitude #HARDwork	fear
The majority of my clients have family/ partner/ day job/ life AND write their beautiful books.  #gratitude #HARDwork	fear
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel to give me my keys back. They aren't for my house! #shocking	fear
#Determine to #start putting the Word in your #heart #consistently. Every day a #line here, a line there--a tape here, a #tape there	fear
I went to this sushi spot &amp; they had tobi &amp; an ANBU mask hung on the wall behind them. I will start going there even tho I don't eat seafood	fear
RIP 'dancing on my own' after that awful song and dance	fear
@nicky Hi! We are working towards your highlighted concern and we will keep you posted on same. Regards, Himani	fear
Caballero having a nightmare #sweeperkeepernot	fear
@Diana_Buds well, did she make you laugh with her panic mania or not?	fear
there is no shame in fear, what matters is how we face it.	fear
Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO	fear
@PARISDENNARD why should I listen to someone with a tie like that? #awful	fear
@outmagazine jesus heck you're awful	fear
I forgot #BB was on tonight ï˜³ that is how much the real world has been distracting me #horrid	fear
@atlabps He doesn't intimidate me, it just annoys me to have him by my side. The further he is, the better I feel	fear
I wish I could fast forward  months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure #anxiety	fear
@DsWorld did you hear it? Cause I am getting messages about the ground shaking	fear
Southampton playing really well here. Youngsters Matty Targett and Jake Hesketh in particular and Austin and Long formidable as a front two	fear
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz #shake	fear
If I was a ghost I'd haunt people by giving them cramps in both of their legs when they do cardio #Mwahaha	fear
@zorefx you guys will see what i did in the next video but its fucking horrid	fear
#Malaysian police arrest  people for suspected links to #terrorism including three #foreigners\n\n#Malaysia	fear
I thought I wouldn't have to deal with that fire alarm again today and then I stepped into Mesa during their fire drill	fear
That moment of #panic when your zipper gets stuck when you're in the #bathroom and you realize the only way out of your jeans is #scissors	fear
Why does #terrorism exist in the first place? #AskTrumpOneQuestion	fear
Multitasking .... I may have to induce these seeds of mine to sleep. #restless	fear
On the way to Laser Vista ... lens implantation ... #LaserVista #nervous #happy	fear
Had a conversion with a random fellow passenger on a #melbourne @metrotrains yesterday evening #astounded #youwouldntreadaboutit	fear
this girl at my new school is so pretty i am #intimidated	fear
I wanna go to fright fest with squad	fear
@annafifield @washingtonpost all hands on deck at the post and in the msm as trump starts to lead in oh, fla, NC, NV, CO. #panic	fear
It's unbelievable that security guard acting like a gangster trying  threaten me and tell me what to do with my own home. #terrify #annoy	fear
@paige_christian awe man, when are you free then?	˜fear
A good head and a good heart are always a formidable combination.' - Nelson Mandela	fear
I'm a shy person	fear
@Rosie #Strongwomen terrify #weakmen - don't let the #bully wear you down. Loving your consistency and truth in rough times Hang in there	fear
Which #JohnCarpenter #horror #action #flick is your favorite ??	fear
@rihaBabyJ Aw no problem. I just felt like speaking because I felt the same before and I want you to overcome it and not be discouraged. :)	fear
@chelseahandler I don't think your a girls girl #fraud #bully #celebeffer	fear
@DrColJ @drshow #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.	fear
I seriously miss #ahsaftershow with @trixiemattel and @TheRealEdHansen. I need to talk about the mamasitas and the hunks of horror.	fear
I can't believe this day hasn't been horrible BLESS	fear
I'm also upset at my incorrect use of a comma. #grammar #struggle #hesitation #backtoschool	fear
Worry makes you look at the problem and God makes you look at the promise.Â  #problem #promise   #faith #God #theanswer #spiritu...	fear
@LanaDelRey @Ocelottacash tfw ur fans panic cuz they think u cut ur hair	fear
Starting to get butterflies in our tummies about tomorrow...who will win?! #nervous @IPMCOGSAwards	fear
@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.	fear
Kernel panic = sweating, sneezing, hiccuping, snot, tears, crying. Clearly my body has an issue with chilli.	fear
Why is it so windy? So glad I didn't ride my bike. #fear #wind	fear
Rear garden alarm activated  at Telford house at ..	fear
watching my first Cage of Death and my word this is tremendous	fear
Pakistan continues to treat #terror as a matter of state policy says @MEAIndia. #UriAttack	fear
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry	fear
â€œWorry is a down payment on a problem you may never have'. Â Joyce Meyer.  #motivation #leadership #worry	fear
It's not a panic situation let's be honest. How shit are they. We just have Rooney up front	fear
Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.	fear
@MaxiNutrition order  parcel . #awful #customercare by @DPD_UK tried to view calling card online. black image #noshow	fear
The  crisis was just the tremor In advance of the earthquake	fear
@bt_uk appointment booked between - today, waited in all day and nobody showed up, also requested a call back and never got one	fear
I can't believe @HoustonTexans can't put up even  points on @Patriots #horrible #hugeletdown	fear
#Question of the #day: what are some of your #nervous #habits? (biting fingernails, tapping your foot, clenching your teeth...)	fear
@CapehartJ agree!  Those latest polls #alarming	fear
Changing my hair again #shocking	fear
@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement	fear
Are you worrying/worried?\nPeter :\nThrow all your worry on him, because he cares for you. #faith #leadership  #mindfulness #success	fear
I've realized my anxiety is at an all time high when I'm in my office. I feel prisoned here and I pick up on bad energy.	fear
@yonahimes they never posted stuff like this? i mean i was able to scroll over it so it wasnt a big deal but it was #shocking	fear
@ducktapepr @midnightaction @juliea @catherinerusse I dread to think... #DirtyPeople	fear
When you realize there is #NoHopeForHumanity so you just #start focusing on what's #best for you.	fear
sai manakgupta \n\nWhat about brutality by #Indian Army In #Kashmir ? isnt it terrorism ?\nIndia should accept precondition of #FreeKashmir	fear
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by  #nightmare	fear
@carl_diggler @TMZ_Sports Thank you for saying what others are afraid to say, Carl. Big fan!	fear
@dilancliff @jackcourtney @ConnorGarnett Connor said he's worried that Jack will steal his girls on a night out #nervous	fear
@ShannonBeador we know the truth about her, the public is figuring it out. Her words mean nothing.  #unhappy #mean #troubled #vile #bully	fear
It's amazing how something gets stuck in your head, and you can't shake a memory...  Sometimes, I miss people a lot.  Wish they knew.	fear
@NancyErvin The most ghastly thing is the silence from the #AARP. Trump says he won't touch SS, but his tax plan belies that.  Huge cuts.	fear
Am I the only one with parking sensors who still manages to reverse into things? #nightmare	fear
@SeanUnfiltered Texans are scared of this bunch! #intimidated	fear
if Man U lose i may actually have a nervous breakdown	fear
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis	fear
@AfroNewtzz also your car hahahah 'oh we've broken down lemme just rearrange the car quickly' #nightmare	fear
My doctor has taken a liking to poking prodding and drawing blood from me post dad. Over concern is nice but dear gawd needles :O	fear
@imjustatrankk awe yay wish i could rt /:	fear
@Darren @FatimaFatwa it would be a great opportunity to settle the globe down.. #fear does wonders..	fear
@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen	fear
Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression	fear
@Doubtism I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack #bully	fear
something incredibly terrible about my life is i'm  years old and still suffering through group projects	fear
#ArchangelSummit @sethgodin  Anyone can be brave but you just have to last  mins longer than everyone else. #leadership #fear	fear
I love my mother, but talking about the recent horrific murders with her is exhausting. Is this really how America feels?	fear
@schokokitsune As much as I always eat....so no. -w- \n\nBut I shake all the time, so eeeeh. Maybe I should go see a doctor 'cause of it .w.	fear
excitement for this weekend just pure dread	fear
@TheSummerIsHere Your ass looks horrible! Oh, is that your face?	fear
@Briardpup @dogworldnews Did they get the wrong fur Pal? #shocking	fear
If you ain't shaking no ass, don't ask me for my liquor. Rule #..	fear
@Dolla_DeLotta They wanna bully the Inhuman.	fear
Will do fine on the mat tonight with or without sleep. theres no worry for that on this side of the water	fear
. sweater weather - the neighbourhood\ngirls/girls/boys - panic! at the disco	fear
whats with these boxes when i search google on chrome #horrible #distracting	fear
last nigt i dreamt \nthat somebody loved me\nno hope no harm\njust another false alarm	fear
@peterdaou What? Hillary has  different controversies and she gets asked NOTHING about any of them. Truth is she's a horrible candidate	fear
Remember the #twinkie #scare ???? #tbt	fear
heads melted, very tired but can't sleep.	fear
Collects all the times when Minerva would chew on his cape. Begins to shiver, runs a hand through his hair. \n\n'You can surelyâ @ardentflier	fear
Never let your #fear decide your #future Have an amazing Thursday, \nLove Miss D X	fear
@KissFMUK rescue my morning, turned up to the gym an hour early before it opened! #nightmare	fear
#Obama #DOJ have destroyed USA!These #CharlotteProtest are acts of #terrorism dating back to #Ferguson Terrorism is how it should be treated	fear
Why are all of these people leaving Blizzard??? D: It's giving me a frighten!	fear
@Twitch how do I stop that horror movie themed commercial? Suddenly hearing screams is really not making me want to watch twitch. #anxiety	fear
@ayeshashafique we are not concerned about Pakistan's internal affairs. But the terrorism as it's state &amp; economic policy.#terroristnation	fear
Yall rlly gotta stop lettin bees put fear in ur heart. unless ur allergic, I'm not tryna see u run around from a fuckin bee...chill. u soft.	fear
Come on girl shake that ass for me	fear
i'm... nervous about this test rip	fear
Stoked that the concept of 'label exclusivity' is becoming faux pas. Always believed it held artists back while creating label distrust	fear
@esanderc @MrsFridayNext It is very specific areas only. I care like % about clothes, much to my mother's dismay.	fear
There is nothing like being in the shower when the power goes out ðŸ˜³ #creepy #panic	fear
#smackdev #ptp #start oh yeah!	fear
What's up Cowboys? #horrible	fear
Popufurs make posts like 'opening commissions in an hour get a slot while you can' and I'm like sitting here in awe at that sort of demand	fear
Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell	fear
@kateemick what a nightmare	fear
Follow this amazing Australian author @KristyBerridge #fiction  #zombies #angels #demons #vampires #werewolves #follow #authorlove	fear
